,K,mag,filename
328,30.563000000000002,0.005839616981234432,IC328K3.0563e+01mag5.8396e-03.bin
332,686.04,0.1950748551388972,IC332K6.8604e+02mag1.9507e-01.bin
337,397.94,0.0028886986354134648,IC337K3.9794e+02mag2.8887e-03.bin
345,55.18899999999999,0.09877628310272699,IC345K5.5189e+01mag9.8776e-02.bin
347,34.113,0.007295288553311156,IC347K3.4113e+01mag7.2953e-03.bin
350,73.158,0.1408464378943816,IC350K7.3158e+01mag1.4085e-01.bin
352,557.02,0.04842444286284369,IC352K5.5702e+02mag4.8424e-02.bin
357,279.59,0.006396551101719599,IC357K2.7959e+02mag6.3966e-03.bin
358,267.44,0.0037026731382899937,IC358K2.6744e+02mag3.7027e-03.bin
359,572.65,0.1259129136439659,IC359K5.7265e+02mag1.2591e-01.bin
360,98.98200000000001,0.6676918021245885,IC360K9.8982e+01mag6.6769e-01.bin
363,16.249000000000002,0.13500040308296093,IC363K1.6249e+01mag1.3500e-01.bin
364,70.872,0.0019819774617104093,IC364K7.0872e+01mag1.9820e-03.bin
365,763.68,0.08410234698333383,IC365K7.6368e+02mag8.4102e-02.bin
369,199.53,0.010723755296690531,IC369K1.9953e+02mag1.0724e-02.bin
371,219.54,0.05225008646738059,IC371K2.1954e+02mag5.2250e-02.bin
373,244.72,0.056203870389359104,IC373K2.4472e+02mag5.6204e-02.bin
376,64.32,0.24568840746932485,IC376K6.4320e+01mag2.4569e-01.bin
377,17.257,0.03654660628079913,IC377K1.7257e+01mag3.6547e-02.bin
379,405.58,0.003065560700052732,IC379K4.0558e+02mag3.0656e-03.bin
382,322.08,0.009689489014513645,IC382K3.2208e+02mag9.6895e-03.bin
383,75.828,0.004108179129560444,IC383K7.5828e+01mag4.1082e-03.bin
384,372.56,0.0071496150634992655,IC384K3.7256e+02mag7.1496e-03.bin
386,299.51,0.021012899639419626,IC386K2.9951e+02mag2.1013e-02.bin
387,152.74,0.004205414290234729,IC387K1.5274e+02mag4.2054e-03.bin
388,46.782,0.032537765641337195,IC388K4.6782e+01mag3.2538e-02.bin
392,53.711999999999996,0.5941282485903484,IC392K5.3712e+01mag5.9413e-01.bin
400,217.5,0.00476425951820986,IC400K2.1750e+02mag4.7643e-03.bin
401,287.35,0.010354795316903764,IC401K2.8735e+02mag1.0355e-02.bin
406,686.17,0.042504328593999684,IC406K6.8617e+02mag4.2504e-02.bin
407,506.69,0.032461291820370684,IC407K5.0669e+02mag3.2461e-02.bin
411,490.59,0.0718774423586905,IC411K4.9059e+02mag7.1877e-02.bin
412,776.13,0.4402799071186975,IC412K7.7613e+02mag4.4028e-01.bin
413,205.86,0.014293075438518398,IC413K2.0586e+02mag1.4293e-02.bin
420,42.785,0.022860831916972385,IC420K4.2785e+01mag2.2861e-02.bin
421,232.04,0.2569996916452452,IC421K2.3204e+02mag2.5700e-01.bin
423,47.236999999999995,0.036765671727672325,IC423K4.7237e+01mag3.6766e-02.bin
